;Water_Type_UN;Carbonation_ST;Week;Units
693979;0;0;19;1
694001;1;1;19;12
693915;0;0;19;1
693903;0;0;19;4
693902;0;0;19;4
694023;0;0;19;3
694003;0;0;19;11
695377;0;0;19;4
695378;0;0;19;4
696449;0;0;19;3
696461;0;0;19;2
696472;1;1;19;1
699864;0;0;19;5
699872;0;0;19;3
699873;0;0;19;3
699863;0;0;19;5
699937;0;0;19;1
699859;0;0;19;7
699842;1;1;19;12
699938;1;1;19;1
710549;0;0;19;1
705650;0;0;19;16
705652;0;0;19;15
701369;0;0;19;1
705582;0;0;19;1
706711;1;1;19;4
706916;0;0;19;9
706930;0;0;19;5
706931;1;1;19;5
706724;1;0;19;2
677017;1;1;19;3
677016;0;0;19;3
672457;0;0;19;1
672427;1;1;19;9
672430;0;0;19;8
672442;0;0;19;5
715285;0;0;19;1
707884;0;0;19;1
707863;1;1;19;5
707885;0;0;19;1
707886;0;0;19;1
707883;0;0;19;1
702778;1;0;19;2
702794;0;0;19;1
700708;0;0;19;1
700402;0;0;19;4
700407;0;0;19;3
700414;0;0;19;2
700415;0;0;19;2
715257;0;0;19;6
715264;0;0;19;4
714101;0;0;19;3
714102;0;0;19;3
714107;0;0;19;2
712309;1;1;19;5
714117;0;0;19;1
714118;0;0;19;1
647484;0;0;19;19
647505;1;1;19;12
647514;0;0;19;11
647527;0;0;19;8
647533;0;0;19;6
651703;0;0;19;11
647543;0;0;19;3
650817;0;0;19;1
650818;0;0;19;1
647477;0;0;19;21
655141;0;0;19;7
654991;0;0;19;3
647982;1;1;19;15
650956;1;0;19;8
650343;1;1;19;13
649488;1;1;19;18
663217;1;1;19;11
663259;0;0;19;2
663268;0;0;19;1
663269;0;0;19;1
663270;0;0;19;1
663271;0;0;19;1
650664;0;0;19;12
650402;0;0;19;3
650403;0;0;19;3
650413;0;0;19;2
650434;0;0;19;1
651671;1;1;19;26
650348;0;0;19;10
651110;1;1;19;26
654111;0;0;19;15
653930;0;0;19;8
653936;0;0;19;7
653970;0;0;19;3
654130;0;0;19;8
599531;1;1;19;6
599532;1;0;19;5
599745;1;0;19;18
656557;0;0;19;3
656587;0;0;19;1
656535;0;0;19;6
656518;0;0;19;9
656459;0;0;19;3
652610;0;0;19;4
652615;0;0;19;3
657346;0;0;19;18
657353;0;0;19;13
657724;0;0;19;10
657725;0;0;19;10
657729;0;0;19;9
660686;1;1;19;37
660690;1;0;19;25
656747;1;1;19;18
656748;1;0;19;17
659177;0;0;19;5
658182;1;1;19;6
666996;0;0;19;6
667044;0;0;19;2
667045;1;1;19;2
667055;0;0;19;1
664812;0;0;19;1
664810;0;0;19;1
619399;1;1;19;3
618988;0;0;19;3
618976;0;0;19;4
618969;0;0;19;5
618938;0;0;19;10
619487;0;0;19;6
627340;0;0;19;1
627300;1;1;19;6
627341;0;0;19;1
627120;0;0;19;6
619493;0;0;19;5
618426;0;0;19;7
618413;0;0;19;11
618414;0;0;19;11
621629;0;0;19;9
618056;0;0;19;13
618071;0;0;19;10
618096;0;0;19;5
618100;0;0;19;4
611234;0;0;19;23
611278;0;0;19;10
611279;0;0;19;10
611268;0;0;19;12
612586;0;0;19;12
612547;1;1;19;39
612337;0;0;19;38
612828;0;0;19;10
612854;0;0;19;5
612861;0;0;19;4
611374;1;1;19;15
611383;0;0;19;13
612339;0;0;19;34
612340;0;0;19;32
612346;0;0;19;26
612881;1;1;19;1
612334;0;0;19;46
623298;1;0;19;3
598195;0;0;19;12
598217;0;0;19;6
598601;0;0;19;10
598530;1;1;19;83
598553;0;0;19;35
598581;0;0;19;17
607562;0;0;19;5
602337;1;1;19;54
602260;1;1;19;14
602251;1;0;19;21
598901;1;1;19;51
598936;1;0;19;21
604510;1;1;19;42
604165;0;0;19;3
604173;0;0;19;2
621156;1;1;19;19
621365;1;0;19;12
603024;0;0;19;7
603033;0;0;19;6
603034;0;0;19;6
603051;0;0;19;3
603875;1;1;19;26
606823;0;0;19;5
606788;0;0;19;10
602992;1;1;19;15
603159;1;0;19;3
657729;0;0;19;9
658182;1;1;19;6
657725;0;0;19;10
657724;0;0;19;10
657353;0;0;19;13
657346;0;0;19;18
656748;1;0;19;17
656747;1;1;19;18
656459;0;0;19;3
655141;0;0;19;7
700414;0;0;19;2
654991;0;0;19;3
654130;0;0;19;8
653970;0;0;19;3
654111;0;0;19;15
653936;0;0;19;7
653930;0;0;19;8
711376;0;0;19;1
710548;0;0;19;1
710549;0;0;19;1
650403;0;0;19;3
650402;0;0;19;3
650413;0;0;19;2
650664;0;0;19;12
656518;0;0;19;9
656587;0;0;19;1
656535;0;0;19;6
650348;0;0;19;10
650343;1;1;19;13
656557;0;0;19;3
649488;1;1;19;18
650434;0;0;19;1
820642;0;0;20;1
815066;1;1;20;7
815070;0;0;20;6
815112;0;0;20;1
820131;0;0;20;2
820130;0;0;20;2
820119;0;0;20;3
820120;1;1;20;3
817828;1;1;20;8
817841;0;0;20;5
815566;1;0;20;2
814447;0;0;20;2
815089;0;0;20;3
815096;0;0;20;2
815097;0;0;20;2
814566;0;0;20;1
814565;0;0;20;1
814564;0;0;20;1
814550;0;0;20;2
832605;0;0;20;1
832585;0;0;20;4
832592;0;0;20;2
832120;0;0;20;1
832121;0;0;20;1
829794;0;0;20;1
832110;0;0;20;2
832111;0;0;20;2
832122;1;1;20;1
819778;0;0;20;1
819763;0;0;20;3
819656;0;0;20;3
824600;0;0;20;6
824599;0;0;20;6
824606;0;0;20;5
822217;1;1;20;5
822239;1;0;20;2
721291;1;0;20;6
721781;1;0;20;26
721230;1;1;20;36
721054;1;0;20;20
826277;0;0;20;2
823315;0;0;20;1
823304;0;0;20;2
823295;0;0;20;3
823136;0;0;20;1
823447;1;1;20;1
823434;0;0;20;2
823316;0;0;20;1
823119;0;0;20;2
823120;0;0;20;2
823121;0;0;20;2
788790;1;0;20;1
788969;1;0;20;2
789201;1;1;20;7
785670;1;1;20;10
786327;0;0;20;6
786322;0;0;20;7
786293;0;0;20;21
786020;0;0;20;2
786021;0;0;20;2
786042;0;0;20;1
782968;0;0;20;2
782969;0;0;20;2
782976;0;0;20;1
782977;0;0;20;1
782954;0;0;20;5
780463;0;0;20;7
780497;0;0;20;3
780462;0;0;20;7
782705;1;1;20;2
782717;0;0;20;1
807802;0;0;20;3
807761;0;0;20;1
807762;0;0;20;1
807763;0;0;20;1
807815;0;0;20;2
807816;0;0;20;2
807828;1;1;20;1
807729;0;0;20;3
807730;0;0;20;3
807747;0;0;20;2
807717;1;1;20;7
812834;0;0;20;3
812851;0;0;20;2
812177;0;0;20;1
812215;1;1;20;3
812221;0;0;20;2
812818;0;0;20;6
812824;0;0;20;4
807002;0;0;20;2
807001;0;0;20;2
812868;0;0;20;1
806993;1;1;20;3
806830;0;0;20;6
806845;0;0;20;3
806154;1;1;20;3
809062;0;0;20;7
789725;0;0;20;1
789726;0;0;20;1
789727;1;1;20;1
789699;0;0;20;3
789700;0;0;20;3
789710;0;0;20;2
789701;0;0;20;3
790220;0;0;20;6
790225;0;0;20;5
790207;0;0;20;11
789799;0;0;20;2
790201;0;0;20;13
790209;0;0;20;8
796278;0;0;20;6
796291;0;0;20;4
795585;0;0;20;1
790250;0;0;20;1
790321;0;0;20;3
790322;0;0;20;3
790323;0;0;20;3
796359;0;0;20;3
789778;0;0;20;5
789783;1;1;20;4
791267;0;0;20;1
791268;0;0;20;1
791603;0;0;20;3
791269;0;0;20;1
791588;1;1;20;5
792456;0;0;20;2
789788;0;0;20;3
789789;0;0;20;3
791225;1;1;20;11
791249;0;0;20;4
791193;0;0;20;1
791195;0;0;20;1
791180;0;0;20;2
784325;1;1;20;6
784300;1;0;20;12
794375;0;0;20;2
794381;0;0;20;1
783883;0;0;20;1
783885;0;0;20;1
794009;0;0;20;2
794010;0;0;20;2
794024;0;0;20;1
756251;1;0;20;8
755854;0;0;20;2
755186;0;0;20;4
756179;1;1;20;8
756131;1;1;20;1
739971;0;0;20;1
739972;0;0;20;1
755845;0;0;20;3
755834;0;0;20;4
757135;1;1;20;34
758064;0;0;20;9
758078;0;0;20;6
749544;0;0;20;12
749545;0;0;20;12
749553;0;0;20;9
757163;1;0;20;9
758082;0;0;20;5
758205;0;0;20;7
758167;0;0;20;12
758184;1;1;20;10
758164;0;0;20;13
786042;0;0;20;1
786021;0;0;20;2
786020;0;0;20;2
786322;0;0;20;7
786327;0;0;20;6
786293;0;0;20;21
782954;0;0;20;5
778306;1;1;20;21
785670;1;1;20;10
782977;0;0;20;1
782976;0;0;20;1
782969;0;0;20;2
782968;0;0;20;2
784300;1;0;20;12
783885;0;0;20;1
783883;0;0;20;1
784325;1;1;20;6
794381;0;0;20;1
794375;0;0;20;2
796278;0;0;20;6
794009;0;0;20;2
796291;0;0;20;4
794010;0;0;20;2
794024;0;0;20;1
797992;0;0;20;7
798869;0;0;20;1
798868;0;0;20;1
798867;0;0;20;1
798853;0;0;20;2
798852;0;0;20;2
782717;0;0;20;1
782705;1;1;20;2
795585;0;0;20;1
780497;0;0;20;3
780463;0;0;20;7
780462;0;0;20;7
738758;0;0;20;8
738613;1;1;20;16
749565;0;0;20;7
738822;0;0;20;1
738986;0;0;20;8
738967;1;1;20;12
738796;0;0;20;4
739553;0;0;20;1
738960;0;0;20;13
738957;0;0;20;14
739541;0;0;20;2
739510;0;0;20;5
739490;0;0;20;8
755854;0;0;20;2
755845;0;0;20;3
755834;0;0;20;4
755186;0;0;20;4
749544;0;0;20;12
749545;0;0;20;12
739553;0;0;20;1
739541;0;0;20;2
739510;0;0;20;5
739972;0;0;20;1
739971;0;0;20;1
742601;0;0;20;3
742572;1;1;20;8
744124;1;1;20;66
744528;0;0;20;5
726510;0;0;20;7
726536;0;0;20;3
726537;0;0;20;3
751796;0;0;20;10
751790;0;0;20;11
751750;1;1;20;60
739490;0;0;20;8
749565;0;0;20;7
749553;0;0;20;9
756251;1;0;20;8
756179;1;1;20;8
756131;1;1;20;1
757163;1;0;20;9
757135;1;1;20;34
758064;0;0;20;9
758205;0;0;20;7
758184;1;1;20;10
758167;0;0;20;12
758164;0;0;20;13
758082;0;0;20;5
758078;0;0;20;6
749822;0;0;20;1
751750;1;1;20;60
751796;0;0;20;10
751790;0;0;20;11
749104;0;0;20;7
749098;1;1;20;8
749097;0;0;20;8
749089;0;0;20;9
747439;1;1;20;11
748577;1;1;20;12
747701;0;0;20;1
747700;0;0;20;1
748577;1;1;20;12
746812;0;0;20;4
742118;0;0;20;5
746821;0;0;20;3
735081;0;0;20;6
735125;0;0;20;1
732070;0;0;20;4
732057;0;0;20;6
732046;1;1;20;8
732031;0;0;20;11
731995;0;0;20;22
730961;0;0;20;7
735096;0;0;20;4
733594;1;1;20;2
733592;0;0;20;2
733584;0;0;20;3
733583;0;0;20;3
735127;0;0;20;1
735102;1;1;20;3
734911;0;0;20;2
734899;0;0;20;3
734914;0;0;20;2
730953;0;0;20;9
738209;0;0;20;7
738203;0;0;20;8
738165;1;1;20;21
730907;1;0;20;23
737968;0;0;20;7
749822;0;0;20;1
749089;0;0;20;9
749104;0;0;20;7
749097;0;0;20;8
749098;1;1;20;8
747700;0;0;20;1
747701;0;0;20;1
721054;1;0;20;20
721011;1;1;20;82
721291;1;0;20;6
721230;1;1;20;36
719298;0;0;20;6
719297;0;0;20;6
719679;0;0;20;6
719678;0;0;20;6
719648;0;0;20;12
721781;1;0;20;26
725381;1;1;20;44
736863;0;0;20;3
736862;0;0;20;3
736837;0;0;20;7
736828;0;0;20;9
736821;0;0;20;10
736739;0;0;20;3
737546;0;0;20;14
736731;1;1;20;4
738957;0;0;20;14
738613;1;1;20;16
738758;0;0;20;8
738967;1;1;20;12
738986;0;0;20;8
738960;0;0;20;13
738796;0;0;20;4
738822;0;0;20;1
736729;1;0;20;4
724007;1;0;20;4
723328;1;1;20;34
723456;1;0;20;5
723441;1;1;20;12
771139;1;1;20;26
773534;1;1;20;10
774498;0;0;20;6
724007;1;0;20;4
773556;0;0;20;6
742601;0;0;20;3
742572;1;1;20;8
746821;0;0;20;3
746812;0;0;20;4
742118;0;0;20;5
773363;1;1;20;3
773395;0;0;20;1
744124;1;1;20;66
719648;0;0;20;12
719298;0;0;20;6
719297;0;0;20;6
772080;0;0;20;2
772067;0;0;20;3
719679;0;0;20;6
719678;0;0;20;6
723456;1;0;20;5
723441;1;1;20;12
726510;0;0;20;7
723328;1;1;20;34
725381;1;1;20;44
726536;0;0;20;3
726537;0;0;20;3
775815;1;1;20;6
773556;0;0;20;6
774498;0;0;20;6
773534;1;1;20;10
776973;0;0;20;7
776956;0;0;20;10
776955;0;0;20;10
776947;0;0;20;13
762602;0;0;20;5
762061;1;1;20;10
798870;1;1;20;1
826277;0;0;20;2
772080;0;0;20;2
772067;0;0;20;3
772059;0;0;20;4
772038;0;0;20;6
772032;1;1;20;7
772031;0;0;20;7
772049;0;0;20;5
824606;0;0;20;5
824600;0;0;20;6
824599;0;0;20;6
768496;1;1;20;1
769031;1;1;20;28
769050;1;0;20;12
773363;1;1;20;3
772811;1;0;20;4
773395;0;0;20;1
771139;1;1;20;26
772334;0;0;20;1
772799;1;1;20;8
791195;0;0;20;1
791193;0;0;20;1
791180;0;0;20;2
791603;0;0;20;3
791588;1;1;20;5
789201;1;1;20;7
789725;0;0;20;1
789710;0;0;20;2
789701;0;0;20;3
789700;0;0;20;3
789699;0;0;20;3
791225;1;1;20;11
792456;0;0;20;2
764743;1;0;20;1
791269;0;0;20;1
791268;0;0;20;1
791267;0;0;20;1
791249;0;0;20;4
790250;0;0;20;1
790225;0;0;20;5
790220;0;0;20;6
790209;0;0;20;8
790322;0;0;20;3
798459;0;0;20;1
798458;0;0;20;1
798457;0;0;20;1
798456;0;0;20;1
796359;0;0;20;3
790321;0;0;20;3
790323;0;0;20;3
788969;1;0;20;2
789726;0;0;20;1
789799;0;0;20;2
789789;0;0;20;3
789788;0;0;20;3
789783;1;1;20;4
790201;0;0;20;13
790207;0;0;20;11
789727;1;1;20;1
789778;0;0;20;5
788790;1;0;20;1
759258;0;0;20;13
759255;1;0;20;14
759233;1;1;20;33
760316;1;1;20;21
812868;0;0;20;1
812851;0;0;20;2
812834;0;0;20;3
812824;0;0;20;4
812818;0;0;20;6
811080;1;0;20;1
811021;0;0;20;1
811020;0;0;20;1
811007;0;0;20;2
812229;0;0;20;1
812221;0;0;20;2
812215;1;1;20;3
812177;0;0;20;1
815112;0;0;20;1
815566;1;0;20;2
823304;0;0;20;2
823295;0;0;20;3
823136;0;0;20;1
823121;0;0;20;2
823120;0;0;20;2
823119;0;0;20;2
823315;0;0;20;1
823316;0;0;20;1
822217;1;1;20;5
820642;0;0;20;1
822239;1;0;20;2
823434;0;0;20;2
823447;1;1;20;1
747439;1;1;20;11
814566;0;0;20;1
814565;0;0;20;1
815097;0;0;20;2
814564;0;0;20;1
814550;0;0;20;2
814447;0;0;20;2
815096;0;0;20;2
815089;0;0;20;3
815070;0;0;20;6
815066;1;1;20;7
744528;0;0;20;5
806154;1;1;20;3
809062;0;0;20;7
807816;0;0;20;2
807828;1;1;20;1
809983;0;0;20;3
832605;0;0;20;1
832592;0;0;20;2
832110;0;0;20;2
832111;0;0;20;2
832122;1;1;20;1
832121;0;0;20;1
832120;0;0;20;1
832585;0;0;20;4
807747;0;0;20;2
807730;0;0;20;3
807729;0;0;20;3
807717;1;1;20;7
807002;0;0;20;2
807761;0;0;20;1
807762;0;0;20;1
807815;0;0;20;2
807802;0;0;20;3
807763;0;0;20;1
806845;0;0;20;3
806830;0;0;20;6
829794;0;0;20;1
807001;0;0;20;2
806993;1;1;20;3
803584;0;0;20;1
803583;0;0;20;1
803582;0;0;20;1
803562;0;0;20;3
803561;0;0;20;3
819778;0;0;20;1
819763;0;0;20;3
819656;0;0;20;3
820131;0;0;20;2
820130;0;0;20;2
817841;0;0;20;5
817828;1;1;20;8
820120;1;1;20;3
820119;0;0;20;3
803585;0;0;20;1
800427;0;0;20;4
800421;0;0;20;5
801635;0;0;20;7
801646;0;0;20;5
801645;0;0;20;5
801636;0;0;20;7
800416;0;0;20;6
800415;0;0;20;6
801650;0;0;20;4
801658;0;0;20;2
803853;1;1;20;3
801394;0;0;20;1
812229;0;0;20;1
764743;1;0;20;1
762602;0;0;20;5
760316;1;1;20;21
776955;0;0;20;10
776956;0;0;20;10
776973;0;0;20;7
776947;0;0;20;13
775815;1;1;20;6
778306;1;1;20;21
768496;1;1;20;1
759255;1;0;20;14
759258;0;0;20;13
759233;1;1;20;33
769031;1;1;20;28
769050;1;0;20;12
762061;1;1;20;10
734914;0;0;20;2
734911;0;0;20;2
737968;0;0;20;7
736739;0;0;20;3
736731;1;1;20;4
736729;1;0;20;4
738209;0;0;20;7
738203;0;0;20;8
738165;1;1;20;21
734899;0;0;20;3
735127;0;0;20;1
735125;0;0;20;1
735102;1;1;20;3
735096;0;0;20;4
735081;0;0;20;6
721011;1;1;20;82
733584;0;0;20;3
733583;0;0;20;3
733592;0;0;20;2
733594;1;1;20;2
732057;0;0;20;6
732031;0;0;20;11
732070;0;0;20;4
731995;0;0;20;22
732046;1;1;20;8
772032;1;1;20;7
772031;0;0;20;7
772038;0;0;20;6
772059;0;0;20;4
772049;0;0;20;5
772334;0;0;20;1
772799;1;1;20;8
772811;1;0;20;4
730907;1;0;20;23
730961;0;0;20;7
730953;0;0;20;9
737546;0;0;20;14
736837;0;0;20;7
736863;0;0;20;3
736862;0;0;20;3
736828;0;0;20;9
736821;0;0;20;10
797992;0;0;20;7
798870;1;1;20;1
798869;0;0;20;1
798868;0;0;20;1
798867;0;0;20;1
798853;0;0;20;2
798852;0;0;20;2
798459;0;0;20;1
798458;0;0;20;1
798456;0;0;20;1
800421;0;0;20;5
800416;0;0;20;6
800415;0;0;20;6
800427;0;0;20;4
798457;0;0;20;1
801658;0;0;20;2
801650;0;0;20;4
801646;0;0;20;5
801645;0;0;20;5
801636;0;0;20;7
801635;0;0;20;7
801394;0;0;20;1
803853;1;1;20;3
803585;0;0;20;1
803584;0;0;20;1
803583;0;0;20;1
803582;0;0;20;1
803562;0;0;20;3
803561;0;0;20;3
811020;0;0;20;1
811007;0;0;20;2
811021;0;0;20;1
811080;1;0;20;1
809983;0;0;20;3
864815;0;0;21;1
864817;0;0;21;1
864588;0;0;21;3
864595;0;0;21;2
865002;0;0;21;1
917262;0;0;21;6
917269;1;1;21;5
917283;0;0;21;3
917285;1;0;21;3
917294;0;0;21;2
917295;0;0;21;2
917296;0;0;21;2
917396;0;0;21;6
917410;1;1;21;4
865936;0;0;21;6
866513;0;0;21;2
866514;0;0;21;2
866526;0;0;21;1
855316;0;0;21;3
854912;0;0;21;5
870756;1;0;21;7
854905;0;0;21;7
854899;0;0;21;8
854897;0;0;21;8
855626;1;0;21;18
855759;0;0;21;4
854898;0;0;21;8
861774;1;1;21;11
870198;1;0;21;8
870736;1;1;21;13
866917;0;0;21;8
866906;0;0;21;10
866910;0;0;21;9
928729;1;0;21;14
911713;1;0;21;3
911008;1;0;21;9
915471;1;1;21;6
915500;1;0;21;2
915544;1;1;21;15
915575;0;0;21;5
915584;0;0;21;4
931384;0;0;21;24
926759;1;0;21;2
926760;1;1;21;2
929235;1;0;21;3
929243;1;1;21;2
916449;0;0;21;1
916436;0;0;21;3
920340;0;0;21;3
920349;0;0;21;2
920350;0;0;21;2
921058;1;0;21;6
921060;1;1;21;6
920351;0;0;21;2
920365;1;1;21;1
915804;1;1;21;2
916739;0;0;21;9
916755;0;0;21;4
919199;1;1;21;4
915585;0;0;21;4
918343;0;0;21;1
919408;0;0;21;3
919399;0;0;21;4
919398;0;0;21;4
919400;0;0;21;4
857830;0;0;21;6
858631;1;0;21;12
858934;1;0;21;8
859133;1;0;21;6
857828;1;1;21;7
858922;1;1;21;11
880842;0;0;21;4
881338;1;0;21;15
880875;0;0;21;1
880848;0;0;21;3
882789;1;1;21;5
882787;1;0;21;5
884342;1;1;21;9
854196;0;0;21;1
854173;0;0;21;3
854149;0;0;21;6
861543;0;0;21;12
861563;0;0;21;8
857323;0;0;21;5
859846;1;1;21;9
871604;0;0;21;3
871592;0;0;21;4
873504;1;0;21;11
871820;0;0;21;15
879718;0;0;21;3
879717;0;0;21;3
879716;0;0;21;3
872486;1;1;21;7
872468;0;0;21;16
872463;0;0;21;18
871893;0;0;21;3
871872;0;0;21;6
871846;0;0;21;10
890303;1;1;21;6
889543;0;0;21;6
889530;0;0;21;9
889518;0;0;21;14
889497;0;0;21;25
889495;1;1;21;26
888671;0;0;21;8
888675;0;0;21;7
888655;1;1;21;11
888695;0;0;21;5
886685;1;1;21;5
886665;1;0;21;12
886560;1;0;21;2
840494;1;1;21;27
840495;1;0;21;26
840601;1;1;21;28
836914;0;0;21;1
882789;1;1;21;5
882787;1;0;21;5
837967;1;0;21;14
850094;0;0;21;12
850083;1;1;21;15
849477;0;0;21;5
848183;1;1;21;38
847913;0;0;21;6
850142;0;0;21;5
884342;1;1;21;9
893303;0;0;21;4
891876;1;1;21;4
888655;1;1;21;11
888675;0;0;21;7
888671;0;0;21;8
892017;1;1;21;27
892032;0;0;21;12
892056;0;0;21;5
891888;0;0;21;3
892050;0;0;21;6
892049;0;0;21;6
892041;0;0;21;8
891501;0;0;21;1
891500;0;0;21;1
886560;1;0;21;2
886665;1;0;21;12
886685;1;1;21;5
858922;1;1;21;11
858934;1;0;21;8
855759;0;0;21;4
842724;0;0;21;9
842726;0;0;21;8
842705;0;0;21;14
842719;0;0;21;10
842720;0;0;21;10
845621;0;0;21;25
850434;0;0;21;8
850420;0;0;21;10
850380;1;0;21;52
850181;0;0;21;1
850171;0;0;21;2
850367;1;1;21;132
850487;0;0;21;1
850470;0;0;21;2
843798;0;0;21;6
843797;0;0;21;6
843796;0;0;21;6
843777;0;0;21;9
900204;1;1;21;9
907947;0;0;21;2
907936;0;0;21;3
907908;0;0;21;5
907897;0;0;21;6
893303;0;0;21;4
893408;0;0;21;2
905726;0;0;21;2
905739;0;0;21;1
905717;1;1;21;4
905712;0;0;21;5
905709;0;0;21;6
908099;0;0;21;4
908096;1;1;21;7
907852;0;0;21;1
890795;0;0;21;1
891501;0;0;21;1
891500;0;0;21;1
894233;0;0;21;4
894232;0;0;21;4
894529;0;0;21;6
894513;0;0;21;10
894518;0;0;21;8
900842;1;0;21;6
900843;1;1;21;6
904682;1;1;21;18
905285;0;0;21;5
902248;1;1;21;13
908861;0;0;21;3
909209;0;0;21;1
908862;0;0;21;3
908877;0;0;21;1
922538;1;1;21;21
921458;0;0;21;1
921314;0;0;21;2
924384;0;0;21;2
924366;0;0;21;4
924401;0;0;21;1
929747;0;0;21;5
929739;1;1;21;8
929718;0;0;21;1
929705;0;0;21;2
929644;0;0;21;2
929642;0;0;21;3
929641;0;0;21;3
929645;0;0;21;2
929752;0;0;21;4
930806;0;0;21;1
932109;0;0;21;3
932108;0;0;21;3
932096;0;0;21;5
929765;0;0;21;2
923844;1;0;21;1
930784;0;0;21;3
930776;1;1;21;4
930426;0;0;21;1
898515;1;0;21;10
895952;0;0;21;2
895953;0;0;21;2
895964;0;0;21;1
895963;0;0;21;1
899908;0;0;21;3
892050;0;0;21;6
898046;0;0;21;3
892017;1;1;21;27
892032;0;0;21;12
891876;1;1;21;4
891888;0;0;21;3
892056;0;0;21;5
892049;0;0;21;6
892041;0;0;21;8
899850;1;1;21;22
898504;1;1;21;17
899907;0;0;21;3
925284;0;0;21;1
924472;1;1;21;1
924470;0;0;21;1
924464;0;0;21;2
924454;0;0;21;3
925285;0;0;21;1
925028;0;0;21;2
925012;1;1;21;5
925011;0;0;21;5
925010;0;0;21;5
925267;0;0;21;3
925020;0;0;21;3
895713;0;0;21;7
895734;0;0;21;4
896021;1;0;21;6
889543;0;0;21;6
889530;0;0;21;9
890303;1;1;21;6
890795;0;0;21;1
888695;0;0;21;5
889518;0;0;21;14
889497;0;0;21;25
889495;1;1;21;26
871820;0;0;21;15
871592;0;0;21;4
872463;0;0;21;18
904827;1;1;21;6
871604;0;0;21;3
872468;0;0;21;16
872486;1;1;21;7
933118;1;1;21;11
933135;1;0;21;6
947416;0;0;21;3
933048;1;1;21;7
930784;0;0;21;3
930776;1;1;21;4
945783;0;0;21;2
929243;1;1;21;2
929641;0;0;21;3
929642;0;0;21;3
929644;0;0;21;2
929645;0;0;21;2
929705;0;0;21;2
929718;0;0;21;1
929739;1;1;21;8
931384;0;0;21;24
928729;1;0;21;14
929235;1;0;21;3
935544;1;1;21;2
935556;0;0;21;1
932109;0;0;21;3
932108;0;0;21;3
932798;1;1;21;6
932096;0;0;21;5
932827;1;0;21;1
929747;0;0;21;5
930426;0;0;21;1
929752;0;0;21;4
936291;0;0;21;1
936292;0;0;21;1
929765;0;0;21;2
930806;0;0;21;1
879716;0;0;21;3
879717;0;0;21;3
879718;0;0;21;3
873504;1;0;21;11
880842;0;0;21;4
880848;0;0;21;3
871846;0;0;21;10
871872;0;0;21;6
871893;0;0;21;3
881338;1;0;21;15
880875;0;0;21;1
943209;0;0;21;2
944184;0;0;21;1
944185;0;0;21;1
937863;0;0;21;4
937794;0;0;21;1
940277;1;1;21;1
938889;1;1;21;6
937897;0;0;21;1
937278;0;0;21;3
937296;0;0;21;1
937276;0;0;21;3
937271;0;0;21;4
937404;0;0;21;1
937403;0;0;21;1
864817;0;0;21;1
864588;0;0;21;3
864815;0;0;21;1
864595;0;0;21;2
915804;1;1;21;2
916449;0;0;21;1
916436;0;0;21;3
861774;1;1;21;11
861563;0;0;21;8
861543;0;0;21;12
859846;1;1;21;9
870198;1;0;21;8
917396;0;0;21;6
917296;0;0;21;2
917295;0;0;21;2
917285;1;0;21;3
917269;1;1;21;5
917262;0;0;21;6
917283;0;0;21;3
916755;0;0;21;4
917294;0;0;21;2
916739;0;0;21;9
911713;1;0;21;3
911008;1;0;21;9
915584;0;0;21;4
915585;0;0;21;4
915575;0;0;21;5
915500;1;0;21;2
915471;1;1;21;6
915544;1;1;21;15
917410;1;1;21;4
893408;0;0;21;2
836914;0;0;21;1
894233;0;0;21;4
894232;0;0;21;4
840495;1;0;21;26
840494;1;1;21;27
907947;0;0;21;2
907936;0;0;21;3
907897;0;0;21;6
907908;0;0;21;5
908099;0;0;21;4
907852;0;0;21;1
908096;1;1;21;7
896021;1;0;21;6
895963;0;0;21;1
895964;0;0;21;1
895952;0;0;21;2
895953;0;0;21;2
865002;0;0;21;1
866906;0;0;21;10
866910;0;0;21;9
866917;0;0;21;8
870756;1;0;21;7
870736;1;1;21;13
866514;0;0;21;2
866513;0;0;21;2
866526;0;0;21;1
865936;0;0;21;6
855316;0;0;21;3
855626;1;0;21;18
837967;1;0;21;14
854912;0;0;21;5
854905;0;0;21;7
854899;0;0;21;8
854898;0;0;21;8
854897;0;0;21;8
854149;0;0;21;6
854173;0;0;21;3
854196;0;0;21;1
845621;0;0;21;25
842719;0;0;21;10
842720;0;0;21;10
842724;0;0;21;9
843796;0;0;21;6
843797;0;0;21;6
843798;0;0;21;6
842726;0;0;21;8
842705;0;0;21;14
840601;1;1;21;28
921458;0;0;21;1
921314;0;0;21;2
921060;1;1;21;6
921058;1;0;21;6
900843;1;1;21;6
900842;1;0;21;6
843777;0;0;21;9
900204;1;1;21;9
899908;0;0;21;3
899907;0;0;21;3
898515;1;0;21;10
898504;1;1;21;17
898046;0;0;21;3
848183;1;1;21;38
899850;1;1;21;22
902248;1;1;21;13
849477;0;0;21;5
850083;1;1;21;15
850094;0;0;21;12
847913;0;0;21;6
850142;0;0;21;5
850171;0;0;21;2
850380;1;0;21;52
850181;0;0;21;1
850367;1;1;21;132
850434;0;0;21;8
850420;0;0;21;10
850487;0;0;21;1
850470;0;0;21;2
925267;0;0;21;3
925012;1;1;21;5
925011;0;0;21;5
925010;0;0;21;5
926760;1;1;21;2
